Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0
25,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0
26,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0
27,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0
28,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0
29,0.9898477157360406,0.01015228426395939,0.0,0.0,0.0,0.0,0.0
30,0.934010152284264,0.06598984771573604,0.0,0.0,0.0,0.0,0.0
31,0.8934010152284264,0.1065989847715736,0.0,0.0,0.0,0.0,0.0
32,0.8934010152284264,0.1065989847715736,0.0,0.0,0.0,0.0,0.0
33,0.8883248730964467,0.1116751269035533,0.0,0.0,0.0,0.0,0.0
34,0.8730964467005076,0.12690355329949238,0.0,0.0,0.0,0.0,0.0
35,0.7918781725888325,0.20812182741116753,0.0,0.0,0.0,0.0,0.0
36,0.7055837563451777,0.29441624365482233,0.0,0.0,0.0,0.0,0.0
37,0.6903553299492385,0.3096446700507614,0.0,0.0,0.0,0.0,0.0
38,0.6548223350253807,0.3401015228426396,0.005076142131979695,0.0,0.0,0.0,0.0
39,0.6040609137055838,0.38578680203045684,0.01015228426395939,0.0,0.0,0.0,0.0
40,0.26903553299492383,0.6802030456852792,0.050761421319796954,0.0,0.0,0.0,0.0
41,0.16243654822335024,0.7614213197969543,0.07614213197969544,0.0,0.0,0.0,0.0
42,0.13705583756345177,0.7817258883248731,0.08121827411167512,0.0,0.0,0.0,0.0
43,0.1319796954314721,0.7766497461928934,0.09137055837563451,0.0,0.0,0.0,0.0
44,0.08629441624365482,0.8121827411167513,0.10152284263959391,0.0,0.0,0.0,0.0
45,0.05583756345177665,0.7868020304568528,0.15228426395939088,0.005076142131979695,0.0,0.0,0.0
46,0.04060913705583756,0.7309644670050761,0.2131979695431472,0.015228426395939087,0.0,0.0,0.0
47,0.04060913705583756,0.7208121827411168,0.2182741116751269,0.02030456852791878,0.0,0.0,0.0
48,0.04060913705583756,0.7055837563451777,0.233502538071066,0.02030456852791878,0.0,0.0,0.0
49,0.04060913705583756,0.6700507614213198,0.25888324873096447,0.030456852791878174,0.0,0.0,0.0
50,0.015228426395939087,0.37055837563451777,0.5228426395939086,0.09137055837563451,0.0,0.0,0.0
51,0.005076142131979695,0.17766497461928935,0.6294416243654822,0.18781725888324874,0.0,0.0,0.0
52,0.0,0.16751269035532995,0.6243654822335025,0.20812182741116753,0.0,0.0,0.0
53,0.0,0.14720812182741116,0.6446700507614214,0.20812182741116753,0.0,0.0,0.0
54,0.0,0.116751269035533,0.6598984771573604,0.2233502538071066,0.0,0.0,0.0
55,0.0,0.10152284263959391,0.6040609137055838,0.29441624365482233,0.0,0.0,0.0
56,0.0,0.07106598984771574,0.5786802030456852,0.350253807106599,0.0,0.0,0.0
57,0.0,0.07106598984771574,0.5685279187817259,0.3604060913705584,0.0,0.0,0.0
58,0.0,0.050761421319796954,0.5786802030456852,0.37055837563451777,0.0,0.0,0.0
59,0.0,0.04060913705583756,0.5177664974619289,0.4416243654822335,0.0,0.0,0.0
60,0.0,0.030456852791878174,0.15228426395939088,0.817258883248731,0.0,0.0,0.0
61,0.0,0.01015228426395939,0.08629441624365482,0.9035532994923858,0.0,0.0,0.0
62,0.0,0.005076142131979695,0.08629441624365482,0.9086294416243654,0.0,0.0,0.0
63,0.0,0.0,0.08121827411167512,0.9187817258883249,0.0,0.0,0.0
64,0.0,0.0,0.08121827411167512,0.9187817258883249,0.0,0.0,0.0
65,0.0,0.0,0.06091370558375635,0.9390862944162437,0.0,0.0,0.0
66,0.0,0.0,0.050761421319796954,0.949238578680203,0.0,0.0,0.0
67,0.0,0.0,0.04568527918781726,0.9543147208121827,0.0,0.0,0.0
68,0.0,0.0,0.04060913705583756,0.9593908629441624,0.0,0.0,0.0
69,0.0,0.0,0.04060913705583756,0.9593908629441624,0.0,0.0,0.0
70,0.0,0.0,0.015228426395939087,0.9847715736040609,0.0,0.0,0.0
71,0.0,0.0,0.01015228426395939,0.9898477157360406,0.0,0.0,0.0
72,0.0,0.0,0.005076142131979695,0.9949238578680203,0.0,0.0,0.0
73,0.0,0.0,0.005076142131979695,0.9949238578680203,0.0,0.0,0.0
74,0.0,0.0,0.005076142131979695,0.9949238578680203,0.0,0.0,0.0
75,0.0,0.0,0.005076142131979695,0.9949238578680203,0.0,0.0,0.0
76,0.0,0.0,0.005076142131979695,0.9949238578680203,0.0,0.0,0.0
77,0.0,0.0,0.005076142131979695,0.9949238578680203,0.0,0.0,0.0
78,0.0,0.0,0.005076142131979695,0.9949238578680203,0.0,0.0,0.0
79,0.0,0.0,0.005076142131979695,0.9949238578680203,0.0,0.0,0.0
80,0.0,0.0,0.0,1.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.9949238578680203,0.005076142131979695,0.0,0.0
82,0.0,0.0,0.0,0.9949238578680203,0.005076142131979695,0.0,0.0
83,0.0,0.0,0.0,0.9949238578680203,0.005076142131979695,0.0,0.0
84,0.0,0.0,0.0,0.9949238578680203,0.005076142131979695,0.0,0.0
85,0.0,0.0,0.0,0.9898477157360406,0.01015228426395939,0.0,0.0
86,0.0,0.0,0.0,0.9847715736040609,0.015228426395939087,0.0,0.0
