Value,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
21,0.0,1.0,0.0,0.0
22,0.0,1.0,0.0,0.0
23,0.0,0.6802030456852792,0.29949238578680204,0.02030456852791878
24,0.0,0.6548223350253807,0.3197969543147208,0.025380710659898477
25,0.0,0.6446700507614214,0.3299492385786802,0.025380710659898477
26,0.0,0.4517766497461929,0.467005076142132,0.08121827411167512
27,0.0,0.41624365482233505,0.49238578680203043,0.09137055837563451
28,0.0,0.39593908629441626,0.5126903553299492,0.09137055837563451
29,0.0,0.3756345177664975,0.5177664974619289,0.1065989847715736
30,0.0,0.27411167512690354,0.5126903553299492,0.2131979695431472
31,0.0,0.20304568527918782,0.5329949238578681,0.2639593908629442
32,0.0,0.18781725888324874,0.5279187817258884,0.28426395939086296
33,0.0,0.17766497461928935,0.5380710659898477,0.28426395939086296
34,0.0,0.17766497461928935,0.5329949238578681,0.2893401015228426
35,0.0,0.16751269035532995,0.5431472081218274,0.2893401015228426
36,0.0,0.08121827411167512,0.5025380710659898,0.41624365482233505
37,0.0,0.01015228426395939,0.4517766497461929,0.5380710659898477
38,0.0,0.01015228426395939,0.4467005076142132,0.5431472081218274
39,0.0,0.01015228426395939,0.4416243654822335,0.5482233502538071
40,0.0,0.01015228426395939,0.4365482233502538,0.5532994923857868
41,0.0,0.01015228426395939,0.25380710659898476,0.7360406091370558
42,0.0,0.01015228426395939,0.2233502538071066,0.766497461928934
43,0.0,0.005076142131979695,0.22842639593908629,0.766497461928934
44,0.0,0.005076142131979695,0.2182741116751269,0.7766497461928934
45,0.0,0.005076142131979695,0.2182741116751269,0.7766497461928934
46,0.0,0.005076142131979695,0.18781725888324874,0.8071065989847716
47,0.0,0.005076142131979695,0.17766497461928935,0.817258883248731
48,0.0,0.005076142131979695,0.16243654822335024,0.8324873096446701
49,0.0,0.005076142131979695,0.16243654822335024,0.8324873096446701
50,0.0,0.005076142131979695,0.1319796954314721,0.8629441624365483
51,0.0,0.005076142131979695,0.050761421319796954,0.9441624365482234
52,0.0,0.005076142131979695,0.04568527918781726,0.949238578680203
53,0.0,0.005076142131979695,0.04568527918781726,0.949238578680203
54,0.0,0.005076142131979695,0.04568527918781726,0.949238578680203
55,0.0,0.005076142131979695,0.04060913705583756,0.9543147208121827
56,0.0,0.005076142131979695,0.03553299492385787,0.9593908629441624
57,0.0,0.005076142131979695,0.025380710659898477,0.9695431472081218
58,0.0,0.005076142131979695,0.025380710659898477,0.9695431472081218
59,0.0,0.005076142131979695,0.025380710659898477,0.9695431472081218
60,0.0,0.005076142131979695,0.025380710659898477,0.9695431472081218
61,0.0,0.0,0.015228426395939087,0.9847715736040609
62,0.0,0.0,0.01015228426395939,0.9898477157360406
63,0.0,0.0,0.01015228426395939,0.9898477157360406
64,0.0,0.0,0.01015228426395939,0.9898477157360406
65,0.0,0.0,0.01015228426395939,0.9898477157360406
66,0.0,0.0,0.005076142131979695,0.9949238578680203
67,0.0,0.0,0.005076142131979695,0.9949238578680203
68,0.0,0.0,0.005076142131979695,0.9949238578680203
69,0.0,0.0,0.005076142131979695,0.9949238578680203
70,0.0,0.0,0.005076142131979695,0.9949238578680203
71,0.0,0.0,0.005076142131979695,0.9949238578680203
72,0.0,0.0,0.005076142131979695,0.9949238578680203
73,0.0,0.0,0.005076142131979695,0.9949238578680203
74,0.0,0.0,0.005076142131979695,0.9949238578680203
75,0.0,0.0,0.005076142131979695,0.9949238578680203
76,0.0,0.0,0.005076142131979695,0.9949238578680203
77,0.0,0.0,0.005076142131979695,0.9949238578680203
78,0.0,0.0,0.005076142131979695,0.9949238578680203
79,0.0,0.0,0.005076142131979695,0.9949238578680203
80,0.0,0.0,0.005076142131979695,0.9949238578680203
81,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,1.0
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
86,0.0,0.0,0.0,1.0
87,0.0,0.0,0.0,1.0
88,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,1.0
90,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
92,0.0,0.0,0.0,1.0
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,1.0
98,0.0,0.0,0.0,1.0
99,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,1.0
