Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
5,0.8781725888324873,0.1218274111675127,0.0,0.0,0.0,0.0,0.0
6,0.817258883248731,0.18274111675126903,0.0,0.0,0.0,0.0,0.0
7,0.7055837563451777,0.29441624365482233,0.0,0.0,0.0,0.0,0.0
8,0.49238578680203043,0.4467005076142132,0.06091370558375635,0.0,0.0,0.0,0.0
9,0.25380710659898476,0.5939086294416244,0.15228426395939088,0.0,0.0,0.0,0.0
10,0.04568527918781726,0.5888324873096447,0.28426395939086296,0.08121827411167512,0.0,0.0,0.0
11,0.02030456852791878,0.38578680203045684,0.48223350253807107,0.1116751269035533,0.0,0.0,0.0
12,0.01015228426395939,0.17766497461928935,0.39593908629441626,0.41624365482233505,0.0,0.0,0.0
13,0.01015228426395939,0.050761421319796954,0.3401015228426396,0.5989847715736041,0.0,0.0,0.0
14,0.005076142131979695,0.030456852791878174,0.2436548223350254,0.7208121827411168,0.0,0.0,0.0
15,0.0,0.02030456852791878,0.15736040609137056,0.817258883248731,0.005076142131979695,0.0,0.0
16,0.0,0.01015228426395939,0.10152284263959391,0.883248730964467,0.005076142131979695,0.0,0.0
17,0.0,0.005076142131979695,0.08629441624365482,0.883248730964467,0.02030456852791878,0.005076142131979695,0.0
18,0.0,0.0,0.030456852791878174,0.934010152284264,0.030456852791878174,0.005076142131979695,0.0
19,0.0,0.0,0.015228426395939087,0.9187817258883249,0.05583756345177665,0.01015228426395939,0.0
20,0.0,0.0,0.0,0.6294416243654822,0.3553299492385787,0.015228426395939087,0.0
21,0.0,0.0,0.0,0.41624365482233505,0.5482233502538071,0.03553299492385787,0.0
22,0.0,0.0,0.0,0.36548223350253806,0.5532994923857868,0.07614213197969544,0.005076142131979695
23,0.0,0.0,0.0,0.26903553299492383,0.6345177664974619,0.08629441624365482,0.01015228426395939
24,0.0,0.0,0.0,0.23857868020304568,0.5482233502538071,0.19796954314720813,0.015228426395939087
25,0.0,0.0,0.0,0.14213197969543148,0.4213197969543147,0.4010152284263959,0.03553299492385787
26,0.0,0.0,0.0,0.1065989847715736,0.3350253807106599,0.5076142131979695,0.050761421319796954
27,0.0,0.0,0.0,0.10152284263959391,0.3096446700507614,0.5228426395939086,0.06598984771573604
28,0.0,0.0,0.0,0.04060913705583756,0.3350253807106599,0.5482233502538071,0.07614213197969544
29,0.0,0.0,0.0,0.03553299492385787,0.29441624365482233,0.5685279187817259,0.10152284263959391
30,0.0,0.0,0.0,0.0,0.2182741116751269,0.43147208121827413,0.350253807106599
31,0.0,0.0,0.0,0.0,0.17766497461928935,0.4365482233502538,0.38578680203045684
32,0.0,0.0,0.0,0.0,0.15736040609137056,0.3401015228426396,0.5025380710659898
33,0.0,0.0,0.0,0.0,0.15228426395939088,0.3147208121827411,0.5329949238578681
34,0.0,0.0,0.0,0.0,0.14720812182741116,0.3096446700507614,0.5431472081218274
35,0.0,0.0,0.0,0.0,0.1116751269035533,0.2131979695431472,0.6751269035532995
36,0.0,0.0,0.0,0.0,0.10152284263959391,0.17766497461928935,0.7208121827411168
37,0.0,0.0,0.0,0.0,0.08629441624365482,0.18781725888324874,0.7258883248730964
38,0.0,0.0,0.0,0.0,0.04568527918781726,0.22842639593908629,0.7258883248730964
39,0.0,0.0,0.0,0.0,0.04060913705583756,0.2233502538071066,0.7360406091370558
40,0.0,0.0,0.0,0.0,0.0,0.17258883248730963,0.8274111675126904
41,0.0,0.0,0.0,0.0,0.0,0.15736040609137056,0.8426395939086294
42,0.0,0.0,0.0,0.0,0.0,0.15736040609137056,0.8426395939086294
43,0.0,0.0,0.0,0.0,0.0,0.15228426395939088,0.8477157360406091
44,0.0,0.0,0.0,0.0,0.0,0.14213197969543148,0.8578680203045685
45,0.0,0.0,0.0,0.0,0.0,0.1116751269035533,0.8883248730964467
46,0.0,0.0,0.0,0.0,0.0,0.07614213197969544,0.9238578680203046
47,0.0,0.0,0.0,0.0,0.0,0.030456852791878174,0.9695431472081218
48,0.0,0.0,0.0,0.0,0.0,0.02030456852791878,0.9796954314720813
49,0.0,0.0,0.0,0.0,0.0,0.015228426395939087,0.9847715736040609
50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,0.0,0.0,0.0,0.0,0.0,0.0,1.0
