Value,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
0,0.0,1.0,0.0,0.0
1,0.0,1.0,0.0,0.0
2,0.0,0.4517766497461929,0.5126903553299492,0.03553299492385787
3,0.0,0.3248730964467005,0.5939086294416244,0.08121827411167512
4,0.0,0.23857868020304568,0.5583756345177665,0.20304568527918782
5,0.0,0.14213197969543148,0.4720812182741117,0.38578680203045684
6,0.0,0.005076142131979695,0.3604060913705584,0.6345177664974619
7,0.0,0.005076142131979695,0.233502538071066,0.7614213197969543
8,0.0,0.005076142131979695,0.06598984771573604,0.9289340101522843
9,0.0,0.005076142131979695,0.030456852791878174,0.9644670050761421
10,0.0,0.005076142131979695,0.015228426395939087,0.9796954314720813
11,0.0,0.0,0.01015228426395939,0.9898477157360406
12,0.0,0.0,0.005076142131979695,0.9949238578680203
13,0.0,0.0,0.005076142131979695,0.9949238578680203
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,1.0
