Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
40,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0
48,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0
49,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0
50,0.9898477157360406,0.01015228426395939,0.0,0.0,0.0,0.0,0.0
51,0.9847715736040609,0.015228426395939087,0.0,0.0,0.0,0.0,0.0
52,0.9847715736040609,0.015228426395939087,0.0,0.0,0.0,0.0,0.0
53,0.9796954314720813,0.02030456852791878,0.0,0.0,0.0,0.0,0.0
54,0.9796954314720813,0.02030456852791878,0.0,0.0,0.0,0.0,0.0
55,0.9746192893401016,0.025380710659898477,0.0,0.0,0.0,0.0,0.0
56,0.9695431472081218,0.030456852791878174,0.0,0.0,0.0,0.0,0.0
57,0.9695431472081218,0.030456852791878174,0.0,0.0,0.0,0.0,0.0
58,0.9644670050761421,0.03553299492385787,0.0,0.0,0.0,0.0,0.0
59,0.9543147208121827,0.04568527918781726,0.0,0.0,0.0,0.0,0.0
60,0.9289340101522843,0.07106598984771574,0.0,0.0,0.0,0.0,0.0
61,0.9086294416243654,0.09137055837563451,0.0,0.0,0.0,0.0,0.0
62,0.9035532994923858,0.09644670050761421,0.0,0.0,0.0,0.0,0.0
63,0.9035532994923858,0.09644670050761421,0.0,0.0,0.0,0.0,0.0
64,0.8934010152284264,0.1065989847715736,0.0,0.0,0.0,0.0,0.0
65,0.8730964467005076,0.12690355329949238,0.0,0.0,0.0,0.0,0.0
66,0.8375634517766497,0.16243654822335024,0.0,0.0,0.0,0.0,0.0
67,0.8274111675126904,0.17258883248730963,0.0,0.0,0.0,0.0,0.0
68,0.8223350253807107,0.17766497461928935,0.0,0.0,0.0,0.0,0.0
69,0.8071065989847716,0.19289340101522842,0.0,0.0,0.0,0.0,0.0
70,0.7055837563451777,0.28426395939086296,0.01015228426395939,0.0,0.0,0.0,0.0
